id,year,gdpcap
Andalucia,1955,1.68873183014256
Andalucia,1956,1.758497532896572
Andalucia,1957,1.827620697239405
Andalucia,1958,1.852756294309327
Andalucia,1959,1.878034847186518
Andalucia,1960,2.010139960011426
Andalucia,1961,2.129177473777024
Andalucia,1962,2.280348445714729
Andalucia,1963,2.431019726088305
Andalucia,1964,2.508854586817271
Andalucia,1965,2.584690027528407
Andalucia,1966,2.694444348559452
Andalucia,1967,2.802342205379936
Andalucia,1968,2.987360797654353
Andalucia,1969,3.179091775257293
Andalucia,1970,3.354327265312589
Andalucia,1971,3.522922065863436
Andalucia,1972,3.756212650180306
Andalucia,1973,3.987717812349374
Andalucia,1974,4.051842208727194
Andalucia,1975,4.11218219878026
Andalucia,1976,4.221793564004034
Andalucia,1977,4.331690840842349
Andalucia,1978,4.305198689046433
Andalucia,1979,4.226935178816097
Andalucia,1980,4.211511206061661
Andalucia,1981,4.207012456541435
Andalucia,1982,4.249071536899056
Andalucia,1983,4.291630962582119
Andalucia,1984,4.358683337963707
Andalucia,1985,4.426592576507159
Andalucia,1986,4.663238917647414
Andalucia,1987,4.900671079886774
Andalucia,1988,5.159597170758132
Andalucia,1989,5.417737876371261
Andalucia,1990,5.585261162128901
Andalucia,1991,5.74921447527269
Andalucia,1992,5.641245358469009
Andalucia,1993,5.534918490085422
Andalucia,1994,5.638817288949809
Andalucia,1995,5.720722685538507
Andalucia,1996,5.995929612326166
Andalucia,1997,6.300985537335316
Aragon,1955,2.28877455736698
Aragon,1956,2.445158622020383
Aragon,1957,2.603398932963908
Aragon,1958,2.639031757527983
Aragon,1959,2.677092215770383
Aragon,1960,2.881462360851699
Aragon,1961,3.09954297028416
Aragon,1962,3.359183186430551
Aragon,1963,3.614181697249447
Aragon,1964,3.680091297854631
Aragon,1965,3.74528699110522
Aragon,1966,3.88331910400042
Aragon,1967,4.016138124179922
Aragon,1968,4.243644882154206
Aragon,1969,4.476220905355166
Aragon,1970,4.596258020169461
Aragon,1971,4.723721863507748
Aragon,1972,5.001285381910972
Aragon,1973,5.283490605641692
Aragon,1974,5.442373781877054
Aragon,1975,5.600971046497876
Aragon,1976,5.736575089873876
Aragon,1977,5.866395524827728
Aragon,1978,5.925021352716189
Aragon,1979,5.952799235095776
Aragon,1980,5.974721595308707
Aragon,1981,6.011139587210574
Aragon,1982,6.133604771544068
Aragon,1983,6.260854181171451
Aragon,1984,6.372893615914426
Aragon,1985,6.495501320214314
Aragon,1986,6.926520924267174
Aragon,1987,7.358611825192803
Aragon,1988,7.802770288288168
Aragon,1989,8.242645307255962
Aragon,1990,8.458297629248786
Aragon,1991,8.668237820723098
Aragon,1992,8.46686626086743
Aragon,1993,8.256926941074871
Aragon,1994,8.573978514509248
Aragon,1995,8.846758243459458
Aragon,1996,9.096686835290363
Aragon,1997,9.518708940302771
Asturias,1955,2.502927804667416
Asturias,1956,2.615538408878156
Asturias,1957,2.725792639393767
Asturias,1958,2.751856577529188
Asturias,1959,2.777420824100481
Asturias,1960,2.967295119572421
Asturias,1961,3.14388738227415
Asturias,1962,3.373536080232657
Asturias,1963,3.59725799604131
Asturias,1964,3.672593527267879
Asturias,1965,3.743358831070587
Asturias,1966,3.909382824215403
Asturias,1967,4.073122139489164
Asturias,1968,4.308626141693892
Asturias,1969,4.549700190291613
Asturias,1970,4.631605151039436
Asturias,1971,4.699657345390157
Asturias,1972,5.022564876832067
Asturias,1973,5.345615364081245
